chemin du fichier, nom du paquet, nom de la classe, tloc de la classe, tassert de la classe, tcmp
.\java\org\jfree\chart\annotations\CategoryLineAnnotationTest.java, org.jfree.chart.annotations, CategoryLineAnnotationTest.java, 107, 27, 3.962962962962963
.\java\org\jfree\chart\annotations\CategoryPointerAnnotationTest.java, org.jfree.chart.annotations, CategoryPointerAnnotationTest.java, 96, 30, 3.2
.\java\org\jfree\chart\annotations\CategoryTextAnnotationTest.java, org.jfree.chart.annotations, CategoryTextAnnotationTest.java, 61, 14, 4.357142857142857
.\java\org\jfree\chart\annotations\TextAnnotationTest.java, org.jfree.chart.annotations, TextAnnotationTest.java, 92, 23, 4.0
.\java\org\jfree\chart\annotations\XYBoxAnnotationTest.java, org.jfree.chart.annotations, XYBoxAnnotationTest.java, 140, 22, 6.363636363636363
.\java\org\jfree\chart\annotations\XYDrawableAnnotationTest.java, org.jfree.chart.annotations, XYDrawableAnnotationTest.java, 103, 18, 5.722222222222222
.\java\org\jfree\chart\annotations\XYImageAnnotationTest.java, org.jfree.chart.annotations, XYImageAnnotationTest.java, 3, 10, 0.3
.\java\org\jfree\chart\annotations\XYLineAnnotationTest.java, org.jfree.chart.annotations, XYLineAnnotationTest.java, 128, 33, 3.878787878787879
.\java\org\jfree\chart\annotations\XYPointerAnnotationTest.java, org.jfree.chart.annotations, XYPointerAnnotationTest.java, 96, 30, 3.2
.\java\org\jfree\chart\annotations\XYPolygonAnnotationTest.java, org.jfree.chart.annotations, XYPolygonAnnotationTest.java, 91, 17, 5.352941176470588
.\java\org\jfree\chart\annotations\XYShapeAnnotationTest.java, org.jfree.chart.annotations, XYShapeAnnotationTest.java, 100, 17, 5.882352941176471
.\java\org\jfree\chart\annotations\XYTextAnnotationTest.java, org.jfree.chart.annotations, XYTextAnnotationTest.java, 100, 32, 3.125
.\java\org\jfree\chart\annotations\XYTitleAnnotationTest.java, org.jfree.chart.annotations, XYTitleAnnotationTest.java, 87, 14, 6.214285714285714
.\java\org\jfree\chart\api\RectangleAlignmentTest.java, org.jfree.chart.api, RectangleAlignmentTest.java, 46, 12, 3.8333333333333335
.\java\org\jfree\chart\AreaChartTest.java, org.jfree.chart, AreaChartTest.java, 96, 6, 16.0
.\java\org\jfree\chart\axis\AxisLocationTest.java, org.jfree.chart.axis, AxisLocationTest.java, 32, 8, 4.0
.\java\org\jfree\chart\axis\AxisSpaceTest.java, org.jfree.chart.axis, AxisSpaceTest.java, 44, 14, 3.142857142857143
.\java\org\jfree\chart\axis\AxisTest.java, org.jfree.chart.axis, AxisTest.java, 165, 57, 2.8947368421052633
.\java\org\jfree\chart\axis\CategoryAnchorTest.java, org.jfree.chart.axis, CategoryAnchorTest.java, 30, 9, 3.3333333333333335
.\java\org\jfree\chart\axis\CategoryAxisTest.java, org.jfree.chart.axis, CategoryAxisTest.java, 109, 38, 2.8684210526315788
.\java\org\jfree\chart\axis\CategoryLabelPositionsTest.java, org.jfree.chart.axis, CategoryLabelPositionsTest.java, 114, 12, 9.5
.\java\org\jfree\chart\axis\CategoryLabelPositionTest.java, org.jfree.chart.axis, CategoryLabelPositionTest.java, 85, 17, 5.0
.\java\org\jfree\chart\axis\CategoryLabelWidthTypeTest.java, org.jfree.chart.axis, CategoryLabelWidthTypeTest.java, 29, 6, 4.833333333333333
.\java\org\jfree\chart\axis\CategoryTickTest.java, org.jfree.chart.axis, CategoryTickTest.java, 77, 17, 4.529411764705882
.\java\org\jfree\chart\axis\CyclicNumberAxisTest.java, org.jfree.chart.axis, CyclicNumberAxisTest.java, 66, 19, 3.473684210526316
.\java\org\jfree\chart\axis\DateAxisTest.java, org.jfree.chart.axis, DateAxisTest.java, 840, 203, 4.137931034482759
.\java\org\jfree\chart\axis\DateTickMarkPositionTest.java, org.jfree.chart.axis, DateTickMarkPositionTest.java, 31, 10, 3.1
.\java\org\jfree\chart\axis\DateTickTest.java, org.jfree.chart.axis, DateTickTest.java, 73, 19, 3.8421052631578947
.\java\org\jfree\chart\axis\DateTickUnitTest.java, org.jfree.chart.axis, DateTickUnitTest.java, 28, 4, 7.0
.\java\org\jfree\chart\axis\ExtendedCategoryAxisTest.java, org.jfree.chart.axis, ExtendedCategoryAxisTest.java, 79, 24, 3.2916666666666665
.\java\org\jfree\chart\axis\LogarithmicAxisTest.java, org.jfree.chart.axis, LogarithmicAxisTest.java, 124, 9, 13.777777777777779
.\java\org\jfree\chart\axis\LogAxisTest.java, org.jfree.chart.axis, LogAxisTest.java, 174, 35, 4.9714285714285715
.\java\org\jfree\chart\axis\MarkerAxisBandTest.java, org.jfree.chart.axis, MarkerAxisBandTest.java, 51, 14, 3.642857142857143
.\java\org\jfree\chart\axis\ModuloAxisTest.java, org.jfree.chart.axis, ModuloAxisTest.java, 40, 9, 4.444444444444445
.\java\org\jfree\chart\axis\MonthDateFormatTest.java, org.jfree.chart.axis, MonthDateFormatTest.java, 74, 18, 4.111111111111111
.\java\org\jfree\chart\axis\NumberAxisTest.java, org.jfree.chart.axis, NumberAxisTest.java, 220, 61, 3.6065573770491803
.\java\org\jfree\chart\axis\NumberTickUnitTest.java, org.jfree.chart.axis, NumberTickUnitTest.java, 41, 9, 4.555555555555555
.\java\org\jfree\chart\axis\PeriodAxisLabelInfoTest.java, org.jfree.chart.axis, PeriodAxisLabelInfoTest.java, 116, 26, 4.461538461538462
.\java\org\jfree\chart\axis\PeriodAxisTest.java, org.jfree.chart.axis, PeriodAxisTest.java, 180, 47, 3.8297872340425534
.\java\org\jfree\chart\axis\QuarterDateFormatTest.java, org.jfree.chart.axis, QuarterDateFormatTest.java, 62, 14, 4.428571428571429
.\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java, org.jfree.chart.axis, StandardTickUnitSourceTest.java, 19, 2, 9.5
.\java\org\jfree\chart\axis\SubCategoryAxisTest.java, org.jfree.chart.axis, SubCategoryAxisTest.java, 78, 15, 5.2
.\java\org\jfree\chart\axis\SymbolAxisTest.java, org.jfree.chart.axis, SymbolAxisTest.java, 50, 16, 3.125
.\java\org\jfree\chart\axis\TickUnitsTest.java, org.jfree.chart.axis, TickUnitsTest.java, 33, 6, 5.5
.\java\org\jfree\chart\axis\ValueAxisTest.java, org.jfree.chart.axis, ValueAxisTest.java, 139, 39, 3.5641025641025643
.\java\org\jfree\chart\BarChartTest.java, org.jfree.chart, BarChartTest.java, 93, 6, 15.5
.\java\org\jfree\chart\block\AbstractBlockTest.java, org.jfree.chart.block, AbstractBlockTest.java, 78, 27, 2.888888888888889
.\java\org\jfree\chart\block\BlockBorderTest.java, org.jfree.chart.block, BlockBorderTest.java, 44, 8, 5.5
.\java\org\jfree\chart\block\BlockContainerTest.java, org.jfree.chart.block, BlockContainerTest.java, 38, 10, 3.8
.\java\org\jfree\chart\block\BorderArrangementTest.java, org.jfree.chart.block, BorderArrangementTest.java, 522, 154, 3.3896103896103895
.\java\org\jfree\chart\block\ColorBlockTest.java, org.jfree.chart.block, ColorBlockTest.java, 58, 15, 3.8666666666666667
.\java\org\jfree\chart\block\ColumnArrangementTest.java, org.jfree.chart.block, ColumnArrangementTest.java, 53, 12, 4.416666666666667
.\java\org\jfree\chart\block\EmptyBlockTest.java, org.jfree.chart.block, EmptyBlockTest.java, 42, 11, 3.8181818181818183
.\java\org\jfree\chart\block\FlowArrangementTest.java, org.jfree.chart.block, FlowArrangementTest.java, 53, 12, 4.416666666666667
.\java\org\jfree\chart\block\GridArrangementTest.java, org.jfree.chart.block, GridArrangementTest.java, 176, 38, 4.631578947368421
.\java\org\jfree\chart\block\LabelBlockTest.java, org.jfree.chart.block, LabelBlockTest.java, 73, 20, 3.65
.\java\org\jfree\chart\block\LineBorderTest.java, org.jfree.chart.block, LineBorderTest.java, 50, 10, 5.0
.\java\org\jfree\chart\block\RectangleConstraintTest.java, org.jfree.chart.block, RectangleConstraintTest.java, 68, 18, 3.7777777777777777
.\java\org\jfree\chart\ChartRenderingInfoTest.java, org.jfree.chart, ChartRenderingInfoTest.java, 65, 16, 4.0625
.\java\org\jfree\chart\entity\CategoryItemEntityTest.java, org.jfree.chart.entity, CategoryItemEntityTest.java, 64, 11, 5.818181818181818
.\java\org\jfree\chart\entity\CategoryLabelEntityTest.java, org.jfree.chart.entity, CategoryLabelEntityTest.java, 50, 13, 3.8461538461538463
.\java\org\jfree\chart\entity\FlowEntityTest.java, org.jfree.chart.entity, FlowEntityTest.java, 45, 14, 3.2142857142857144
